Lat + Long,Total Emissions
"39.79836, -104.91968",0.26
"39.79836, -104.91968",0.81
"39.06238, -108.55236",16830
"39.75775, -104.74207",500
"39.79434, -105.06527",269
"39.79434, -105.06527",227
"40.457802, -104.688843",354.27
"40.10319, -104.96579",232.8
"40.10319, -104.96579",1129.2
"40.10319, -104.96579",30.6
"40.03678, -105.22465",893.3
"40.03678, -105.22465",97.4
"40.03678, -105.22465",42.3
"40.03678, -105.22465",8.5
"37.46602, -105.86546",91
"37.46602, -105.86546",6
"37.46602, -105.86546",74
"37.46602, -105.86546",33
"37.46602, -105.86546",51
"38.34497, -104.65161",298
"38.34497, -104.65161",242
"38.34497, -104.65161",93
"38.34497, -104.65161",168
"38.34497, -104.65161",35
"39.64815, -106.95195",0.672
"40.619722, -105.006111",42090
"37.191604, -107.874467",0.0015
"40.1301, -104.9224",12533
"40.1301, -104.9224",3537.4
"39.91007, -105.24056",0.3143
"39.896207, -104.962504",24
"39.896207, -104.962504",2
"38.789051, -104.806197",2640
"38.789051, -104.806197",727
"38.789051, -104.806197",19780
"38.789051, -104.806197",6840
"38.789051, -104.806197",6562
"38.789051, -104.806197",17830
"40.201, -104.927",10
"40.5236, -105.02021",44
"40.5236, -105.02021",14
"40.5236, -105.02021",514
"40.5236, -105.02021",2359
"39.80727, -104.9365",0.061
"39.80727, -104.9365",1635.939
"39.89499, -104.96364",258
"39.77664, -105.16541",439.8
"39.77664, -105.16541",64832.8
"39.77664, -105.16541",38270.6
"39.450333, -108.040203",804
"39.450333, -108.040203",387
"39.450333, -108.040203",2153
"39.450333, -108.040203",781
"40.054503, -104.804352",0.00065
"40.054503, -104.804352",0.04263
"38.78171, -104.76966",0.00738
"38.295956, -104.607177",0.00001
"40.238056, -104.998056",35.24
"40.238056, -104.998056",9119.66
"40.238056, -104.998056",4080
"40.238056, -104.998056",88.3
"40.238056, -104.998056",11495.9
"40.238056, -104.998056",4080
"40.14398, -104.97666",121.35
"40.14398, -104.97666",299.31
"40.14398, -104.97666",6057.4
"40.5067, -107.525833",2
"40.2469, -103.7756",255
"40.2469, -103.7756",11542
"40.2469, -103.7756",10
"40.202236, -105.236697",3617
"40.202236, -105.236697",11.63
"40.202236, -105.236697",7.85
"40.202236, -105.236697",63
"40.713645, -104.156444",2167
"38.10103, -102.61294",2805
"38.10103, -102.61294",30405
"40.4227, -104.69714",1315.01
"39.92646, -105.09883",9
"40.08956, -104.61213",85
"40.08956, -104.61213",5.036
"40.17393, -105.09511",8400
"39.739943, -103.708304",4.5
"39.739943, -103.708304",11.86
"39.739943, -103.708304",2.98
"39.739943, -103.708304",2.36
"39.739943, -103.708304",7.68
"39.739943, -103.708304",20.51
"39.739943, -103.708304",0.76
"39.739943, -103.708304",24.53
"39.739943, -103.708304",1.11
"39.739943, -103.708304",4.6
"39.739943, -103.708304",2.93
"39.858306, -106.083374",1700
"39.858306, -106.083374",5
"39.858306, -106.083374",5
"39.858306, -106.083374",67.7
"39.858306, -106.083374",5
"39.368668, -106.182976",556
"39.368668, -106.182976",255
"39.368668, -106.182976",89.7
"39.368668, -106.182976",250
"39.368668, -106.182976",5
"39.368668, -106.182976",250
"39.7591, -105.8404",6.1
"39.7591, -105.8404",250
"39.7591, -105.8404",10
"38.276933, -104.523808",108.3
"38.276933, -104.523808",2300.34
"38.276933, -104.523808",148.96
"38.276933, -104.523808",77.84
"38.276933, -104.523808",10
"40.42939, -104.67637",1195
"40.42939, -104.67637",5
"40.42939, -104.67637",25
"39.756394, -104.77596",4629.41
"39.756394, -104.77596",2018.4
"39.756394, -104.77596",10968.14
"39.771774, -104.861094",10
"38.633444, -104.707806",4489
"38.633444, -104.707806",1396
"38.633444, -104.707806",2172
"38.633444, -104.707806",233
"38.633444, -104.707806",1.092
"38.633444, -104.707806",46.3
"38.633444, -104.707806",15.5
"38.633444, -104.707806",15.4
"38.633444, -104.707806",10.7
"38.633444, -104.707806",28.5
"40.02025, -105.227461",1500
"40.02025, -105.227461",2600
"40.02025, -105.227461",3600
"40.02025, -105.227461",500
"40.02025, -105.227461",9400
"40.02025, -105.227461",1750
"40.02025, -105.227461",4700
"40.02025, -105.227461",255
"40.02726, -105.23966",1750
"40.02726, -105.23966",500
"40.02726, -105.23966",500
"38.721672, -105.157514",1200
"38.721672, -105.157514",11
"38.721672, -105.157514",21.3
"38.721672, -105.157514",445.2
"38.721672, -105.157514",2
"38.1685, -104.6189",12085.71
"38.1685, -104.6189",4052.5
"38.1685, -104.6189",4917.72
"40.088944, -104.884194",121
"40.088944, -104.884194",760
"40.088944, -104.884194",94.9
"40.088944, -104.884194",45
"40.088944, -104.884194",1980
"40.088944, -104.884194",180
"40.088944, -104.884194",1480
"40.34892, -104.57796",940
"40.34892, -104.57796",14084
"40.34892, -104.57796",119
"40.34892, -104.57796",2.4
"40.34892, -104.57796",2050
"40.34892, -104.57796",3600
"40.34892, -104.57796",4400
"39.77639, -104.95035",1500
"39.642417, -105.003278",5
"39.642417, -105.003278",5
"39.96717, -105.08714",74
"39.86265, -104.8843",439
"40.093792, -104.607544",112
"39.89145, -104.86868",4633
"39.07192, -108.5197",0.1
"39.74377, -104.71116",8827
"39.74377, -104.71116",7333
"39.74377, -104.71116",40155
"39.74377, -104.71116",795
"39.74377, -104.71116",5765
"39.957194, -108.318161",12517.89
"39.957194, -108.318161",8318.31
"39.957194, -108.318161",156.46
"39.80427, -104.93787",0.6
"38.232627, -104.607257",25594
"38.232627, -104.607257",12029
"38.232627, -104.607257",250.69
"38.232627, -104.607257",706.56
"38.232627, -104.607257",2.84
"38.232627, -104.607257",173.2
"38.232627, -104.607257",157.88
"38.232627, -104.607257",3125.35
"38.232627, -104.607257",7.895
"38.37832, -105.11103",2744.775
"40.44874, -104.6993",7.12
"40.44874, -104.6993",111.95
"39.55079, -105.04215",0.154926
"40.145859, -104.749966",77
"40.145859, -104.749966",2732
"40.145859, -104.749966",520
"40.145859, -104.749966",560
"40.145859, -104.749966",243
"40.45707, -104.859464",69
"40.45707, -104.859464",3238
"38.129058, -104.606741",130262.3
"38.129058, -104.606741",4
"38.129058, -104.606741",15.06
"38.129058, -104.606741",32.88
"38.129058, -104.606741",443.73
"38.129058, -104.606741",6.37
"38.129058, -104.606741",16.66
"38.129058, -104.606741",1.32
"38.129058, -104.606741",298.72
"38.129058, -104.606741",0.376133
"38.129058, -104.606741",5.69
"38.129058, -104.606741",4534.56
"38.129058, -104.606741",6.53
"38.129058, -104.606741",27.77
"38.129058, -104.606741",119.69
"39.664131, -105.006523",313
"38.27935, -104.51488",416
"38.27935, -104.51488",2
"38.27935, -104.51488",1261
"38.27935, -104.51488",16
"38.27935, -104.51488",24
"38.27935, -104.51488",0.0005
"38.27935, -104.51488",1
"38.27935, -104.51488",1
"40.36336, -104.7293",360.083
"40.36336, -104.7293",732
"40.36336, -104.7293",660
"40.36336, -104.7293",110.048
"40.36336, -104.7293",8.51
"40.36336, -104.7293",1900.63
"40.36336, -104.7293",420.18
"40.4477, -104.99921",1.656337
"40.04235, -104.80238",308
"40.04235, -104.80238",11
"40.04235, -104.80238",0.4
"37.144052, -107.786349",2707
"37.144052, -107.786349",2406
"37.144052, -107.786349",2432
"37.144052, -107.786349",1561
"37.144052, -107.786349",514
"38.386367, -105.017688",27193
"38.386367, -105.017688",77326
"38.386367, -105.017688",48758
"38.386367, -105.017688",13.31
"38.386367, -105.017688",24.85
"38.386367, -105.017688",0.119
"38.386367, -105.017688",20.7
"39.68515, -104.98988",0.8
"40.028378, -104.817719",0.23
"39.9277, -105.09878",0.009
"39.37217, -104.87555",0.254
"39.565186, -104.832856",29573.8
"39.565186, -104.832856",11.8
"39.565186, -104.832856",158.03
"39.858242, -104.902178",0.37
"38.886083, -104.682761",0.715
"38.829416, -104.815325",1.364
"38.88799, -104.81891",0.605
"39.810955, -104.984279",0.17
"39.39962, -104.75635",0.619
"38.273826, -104.5366",0.005
"39.56077, -105.04582",0.431
"39.76387, -104.85469",0.581
"39.9275, -105.10993",0.27
"39.802849, -105.047847",645
"39.802849, -105.047847",1062
"39.802849, -105.047847",3436
"39.35162, -104.5167",1360
"38.80957, -104.73373",1000
"38.80957, -104.73373",1000
"38.35156, -104.649185",1237
"38.35156, -104.649185",40
"38.35156, -104.649185",243.3
"38.35156, -104.649185",53
"38.35156, -104.649185",389
"38.35156, -104.649185",23.5
"38.35156, -104.649185",255
"38.35156, -104.649185",564
"38.35156, -104.649185",19.4
"39.96946, -104.81938",13573
"39.96946, -104.81938",40992
"40.452668, -103.955917",710
"40.16437, -105.03665",3
"39.77764, -104.94478",21
"39.77764, -104.94478",6
"39.77764, -104.94478",17
"39.77764, -104.94478",28
"39.77764, -104.94478",60
"40.1425, -104.46472",8
"40.1425, -104.46472",1100
"39.967409, -105.844541",1
"39.967409, -105.844541",0.2
"40.4652, -104.87035",16062
"40.4652, -104.87035",25719
"40.4652, -104.87035",1388
"40.14548, -104.74839",5940
"40.14548, -104.74839",272
"40.14548, -104.74839",264
"40.14548, -104.74839",96
"40.14548, -104.74839",34
"40.256711, -104.734859",13
"40.256711, -104.734859",82
"40.256711, -104.734859",99
"40.256711, -104.734859",33
"40.256711, -104.734859",1587
"40.249659, -103.765019",255
"40.416952, -104.675853",5
"40.416952, -104.675853",10
"40.416952, -104.675853",255
"40.092803, -105.20098",255
"40.092803, -105.20098",255
"40.092803, -105.20098",755
"40.68364, -103.8244",300
"40.68364, -103.8244",6
"40.68364, -103.8244",20
"40.68364, -103.8244",177.07
"40.68364, -103.8244",100
"39.81522, -105.16273",80
"39.496342, -105.107588",0.104
"40.449722, -104.779722",30.37
"40.449722, -104.779722",5.56
"40.457201, -104.664686",109.8
"40.457201, -104.664686",2210
"40.457201, -104.664686",2400
"40.457201, -104.664686",27
"40.457201, -104.664686",580
"40.457201, -104.664686",5470
"38.87993, -104.82418",1243.6
"38.871406, -104.675774",1.0826
"38.871406, -104.675774",0.0177
"38.77859, -104.77099",0.0146
"38.77859, -104.77099",0.8951
"40.610706, -105.113919",0.0098
"40.610706, -105.113919",0.5981
"39.81204, -105.00636",1.3816
"39.81204, -105.00636",0.0225
"40.44849, -104.7348",1.2331
"40.44849, -104.7348",0.0201
"39.708889, -105.21",0.0323
"39.708889, -105.21",1.9799
"39.88956, -104.86992",153.095
"39.88956, -104.86992",155.54
"39.88956, -104.86992",156.03
"39.88956, -104.86992",4219
"40.14096, -105.1248",1.77
"40.466533, -104.862276",220
"40.466533, -104.862276",30
"40.466533, -104.862276",130000
"40.466533, -104.862276",0.02
"40.466533, -104.862276",170000
"40.266583, -104.734944",3410
"40.266583, -104.734944",90.1
"40.266583, -104.734944",8000
"40.266583, -104.734944",3800
"40.266583, -104.734944",4320
"40.266583, -104.734944",939
"40.266583, -104.734944",3770
"40.266583, -104.734944",10120
"40.07893, -105.18985",5
"40.07893, -105.18985",5
"40.07893, -105.18985",5
"39.098055, -108.625",3880
"39.756667, -105.219167",18300
"39.756667, -105.219167",5000
"39.505324, -107.738116",950
"40.22538, -104.81894",0.5
"39.79282, -104.99497",4.43
"39.79141, -104.98901",0.05
"40.45158, -104.81159",58.6
"39.69719, -106.10763",2
"39.69719, -106.10763",0.3
"39.79668, -104.94236",710
"39.79668, -104.94236",970
"39.79668, -104.94236",116
"39.79668, -104.94236",17
"39.79668, -104.94236",22
"39.79668, -104.94236",610
"39.79668, -104.94236",1040
"39.79668, -104.94236",0.2
"39.79668, -104.94236",310
"40.04825, -104.811768",0.001
"40.14548, -104.74932",687
"40.14548, -104.74932",58
"40.14548, -104.74932",1284
"40.14548, -104.74932",8062
"40.14548, -104.74932",146
"40.232045, -104.798221",12
"40.232045, -104.798221",170
"40.232045, -104.798221",830
"40.232045, -104.798221",130
"40.232045, -104.798221",260
"38.201929, -104.57088",121.47
"38.201929, -104.57088",10857.63
"38.201929, -104.57088",6666.88
"38.201929, -104.57088",8117.35
"38.201929, -104.57088",91.6
"38.201929, -104.57088",703.35
"38.201929, -104.57088",67.24
"38.201929, -104.57088",95.31
"38.201929, -104.57088",60.6055
"38.201929, -104.57088",521.16
"38.201929, -104.57088",76.93
"38.201929, -104.57088",67.43
"38.201929, -104.57088",0.5657
"38.201929, -104.57088",35.243
"40.487122, -107.185669",11000
"40.487122, -107.185669",24000
"40.487122, -107.185669",980
"40.487122, -107.185669",5100
"40.487122, -107.185669",33.9
"40.487122, -107.185669",163
"40.487122, -107.185669",2.083
"40.487122, -107.185669",0.5031
"40.487122, -107.185669",19.481
"40.487122, -107.185669",311.2
"40.487122, -107.185669",1.1566
"40.220084, -103.678999",3200
"40.220084, -103.678999",8600
"40.220084, -103.678999",33.9
"40.220084, -103.678999",5200
"40.220084, -103.678999",1.523
"40.220084, -103.678999",29.44
"40.220084, -103.678999",9.334
"40.220084, -103.678999",220.34
"40.220084, -103.678999",18.54
"40.220084, -103.678999",0.3669
"40.220084, -103.678999",19.4032
"40.220084, -103.678999",24.83
"40.220084, -103.678999",115
"38.78817, -104.8007",648
"39.811318, -105.019609",1
"40.86004, -105.02691",86.3
"40.86004, -105.02691",882.8
"40.86004, -105.02691",164.5
"40.86004, -105.02691",114.3
"40.86004, -105.02691",26.6
"40.86004, -105.02691",966
"40.86004, -105.02691",20.1
"40.86004, -105.02691",26.4
"40.86004, -105.02691",2.9
"40.86004, -105.02691",0.37
"40.86004, -105.02691",13.705
"39.78741, -105.11613",27.96
"39.7667, -105.1949",1401
"39.7667, -105.1949",1700
"39.7667, -105.1949",24300
"39.7667, -105.1949",0.07
"39.7667, -105.1949",36500
"40.069502, -104.734884",1600
"40.069502, -104.734884",5
"40.117556, -104.387444",100
"40.117556, -104.387444",28.6
"40.117556, -104.387444",985
"40.117556, -104.387444",741.8
"40.117556, -104.387444",2700
"40.117556, -104.387444",705
"40.117556, -104.387444",168
"39.89144, -104.86917",38
"39.89144, -104.86917",2646
"39.89144, -104.86917",5
"39.95508, -104.98191",11
"39.95508, -104.98191",1
"38.77602, -104.73879",0.043
"38.77602, -104.73879",10
"38.77602, -104.73879",255
"38.77602, -104.73879",0.81489
"40.94713, -108.31021",1250
"40.94713, -108.31021",1040
"40.94713, -108.31021",1120
"39.79829, -105.05915",0.205
"40.014029, -104.818395",0.2177
"38.873896, -104.675123",0.1542
"39.36719, -104.85164",0.3479
"40.16062, -104.9994",0.0221
"40.397422, -104.939255",0.0713
"38.778687, -104.770264",0.1213
"39.75298, -104.73482",0.1259
"39.73461, -105.00778",0.2244
"39.9787, -105.07378",0.4158
"39.50107, -105.01788",0.1724
"40.0293, -105.21384",0.01
"39.75527, -104.809952",0.2238
"40.6375, -103.190556",1137
"40.6375, -103.190556",4826
"40.6375, -103.190556",211
"39.80488, -104.94298",368
"39.80488, -104.94298",2137
"39.80488, -104.94298",5274
"39.80488, -104.94298",9029
"39.80488, -104.94298",22735
"39.80488, -104.94298",4579.9
"39.80488, -104.94298",2
"39.80488, -104.94298",543
"39.80488, -104.94298",5392
"39.80488, -104.94298",102
"39.80488, -104.94298",5330
"39.80488, -104.94298",151.24
"39.80488, -104.94298",476
"39.80488, -104.94298",643
"39.80488, -104.94298",23605
"39.80488, -104.94298",66
"39.80488, -104.94298",38
"39.80488, -104.94298",20.35
"39.80488, -104.94298",3.97
"39.80488, -104.94298",7.0003
"39.80488, -104.94298",131
"39.80488, -104.94298",78
"39.80488, -104.94298",5115
"39.80488, -104.94298",914
"39.80488, -104.94298",0.073953
"39.80488, -104.94298",0.1275
"39.80488, -104.94298",494
"39.80488, -104.94298",27
"40.44278, -104.69233",3534
"39.73445, -105.12697",1352
"39.78493, -104.92701",14
"39.78493, -104.92701",877
"39.08733, -108.604156",965
"39.08733, -108.604156",10
"39.08733, -108.604156",4949
"39.08733, -108.604156",5046
"39.08733, -108.604156",3255
"38.28159, -104.51741",16.78
"38.28159, -104.51741",10
"40.416944, -107.545556",92
"40.416944, -107.545556",2
"40.416944, -107.545556",6
"40.416944, -107.545556",76
"40.416944, -107.545556",0.03
"40.416944, -107.545556",10
"40.416944, -107.545556",14
"40.4627, -107.5912",14440
"40.4627, -107.5912",11578
"40.4627, -107.5912",4790
"40.4627, -107.5912",36054
"40.4627, -107.5912",1305
"40.4627, -107.5912",255
"40.4627, -107.5912",11257
"40.4627, -107.5912",29.73
"40.4627, -107.5912",1078
"40.4627, -107.5912",0.548
"40.4627, -107.5912",113.43
"40.4627, -107.5912",255
"40.4627, -107.5912",5899
"40.4627, -107.5912",4021
"39.722215, -104.77239",12
"39.722215, -104.77239",4
"39.56857, -105.00366",0.3
"39.56857, -105.00366",1.2
"39.79824, -104.99043",5049
"39.79824, -104.99043",1000
"39.79824, -104.99043",500
"38.753333, -104.765556",995.6
"39.713634, -104.997567",0.16185
"39.713634, -104.997567",0.00078
"39.80909, -104.99077",0.6
"39.87075, -104.88168",41.19
"39.87075, -104.88168",27.56
"39.87075, -104.88168",358.12
"39.87075, -104.88168",699.66
"39.747503, -104.678331",274
"39.747503, -104.678331",503
"39.747503, -104.678331",2379
"39.747503, -104.678331",92
"39.747503, -104.678331",28
"38.879969, -104.67775",1
"40.02949, -104.81151",1821
"40.02949, -104.81151",1.700129
"40.02949, -104.81151",112.088
"40.02949, -104.81151",195
"39.86101, -104.8843",559
"40.16028, -105.09309",2.24
"40.16028, -105.09309",4.12
"40.26269, -103.80612",19922.72
"40.26269, -103.80612",2980
"39.83963, -108.241034",2230
"39.83963, -108.241034",1790
"40.13, -102.68",2003
"40.13, -102.68",541
"40.13, -102.68",13481
"39.80285, -104.9852",32
"39.80285, -104.9852",20